"","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID","Author"
"11","A Gupta; Riccardo Bettati","Dynamic Resource Allocation Migration for Multiparty Real-Time Communications ","ICDCS International Conference Distributed Computing Systems","11","2","11","AGupta"
"12","A Gupta; Domenico Ferrari ; Mark Moran ; Quyen Nguyen ; Rajendra Yavatkar ; Riccardo Bettati ; W Heffner ; Wingwai Howe","Connection Establishment for Multi-Party Real-Time Communication ","NOSSDAV Network and Operating System Support for Digital Audio and Video","11","3","12","AGupta"
"13","A Gupta; Domenico Ferrari ; Giorgio Ventre","Distributed Advance Reservation of Real-Time Connections ","NOSSDAV Network and Operating System Support for Digital Audio and Video","11","4","13","AGupta"
"14","A Gupta; Mark Moran ; Quyen Nguyen ; Wingwai Howe","Resource Sharing for Multi-Party Real-Time Communication ","INFOCOM The Conference Computer Communications","11","5","14","AGupta"
"15","A Gupta; Domenico Ferrari ; Giorgio Ventre","Distributed Advance Reservation of Real-Time Connections ","Multimedia Syst","11","6","15","AGupta"
"16","A Gupta; Domenico Ferrari","Resource partitioning for real-time communication ","IEEE ACM Trans Netw","11","7","16","AGupta"
"17","A Gupta; Kurt Rothermel","Failure Recovery for Multi-Party Real-Time Communication ","ICMCS International Conference Multimedia Computing and Systems","11","8","17","AGupta"
"18","S Ghosh; A Gupta; S V Pemmaraju","A self-stabilizing algorithm for the maximum flow problem,"," th Annual IEEE International Conference Computers and Communication","12","20","18","AGupta"
"19","A Gupta ; C Mazumdar","PMM: A parallel architecture for production systems,","ACM Southeastcon","12","21","19","AGupta"
"20","A Gupta ; C Mazumdar","A partially shared parallel Rete network for faster execution of production systems,","Froniters of Knowledge Based Computing Vijay P Bhatkar and Kiran M Rege ed Narosa Publishing House","12","22","20","AGupta"
"21","N Gururaj ; A Gupta","A simulator for distributed self-stabilizing algorithms,","ADCOM International Conference Advanced Computing and Communication Bhubaneswar","12","23","21","AGupta"
"22","M E Kortright; A Gupta; R Borie","Fast parallel algorithms for the balanced decomposition of series-parallel graphs,","Congressus Numerantium","12","24","22","AGupta"
"23","V Madhu; P Singhal; A Gupta","Design and implementation of a Linux-based IPv -IPv Bridge,","CIT Bhubaneswar","12","25","23","AGupta"
"24","A Gupta;Animesh Nandi","Estimating Link Characteristics of Internet Paths With FPathchar ","International Conference Internet Computing","12","26","24","AGupta"
"25","H S Paul; A Gupta; R Badrinath","Combining diverse checkpoint and recovery algorithms for distributed systems,"," rd International Workshop Distributed Computing Calcutta","12","27","25","AGupta"
"26","H S Paul; A Gupta; R Badrinath","Hierarchical coordinated checkpointing algorithms,","PDCS Parallel and Distributed Computing Systems IASTED International Conference Parallel and Distributed Computing and Systems","12","28","26","AGupta"
"27","H S Paul; A Gupta; R Badrinath","A heterogeneous checkpoint and recovery protocol,","PDPTA Parallel and Distributed Processing Techniques and Applications International Conference Parallel and Distributd Processing Techniques and Applications Las Vegas","12","29","27","AGupta"
"28","S Banerjee; A Gupta; A Basu","Online transcoding of web pages for mobile devices,","HCI Human Computer Interaction Udine","12","1","28","AGupta"
"29","A Gupta;Anupam Basu ; Umesh Deshpande","Adaptive Fault Tolerant Hospital Resource Scheduling ","CoopIS DOA International Symposium Distributed Objects and Applications ODBASE International Conference Ontologies Databases and Applications of SEmantics","12","2","29","AGupta"
"30","A Gupta;Anupam Basu ; Somnath Banerjee","Online Transcoding of Web Pages for Mobile Devices ","HCI Human Computer Interaction","12","3","30","AGupta"
"31","A Basu ; A Gupta","Intellegent mobile agent based framework for resource discovery and transcoding,","Intelligent Computing and VLSI Very Large Scale Integration Allied Publishers","12","4","31","AGupta"
"32","R Borie ; A Gupta","Balanced decomposition for partial-k trees,","Congressus Numerantium","12","5","32","AGupta"
"33","U Deshpande; A Gupta; A Basu","Coordinated problem solving through resource sharing in a distributed environment,"," IEEE Transactions Systems Man and Cybernatics","12","6","33","AGupta"
"34","U Deshpande; A Gupta; A Basu","A coordination mechanism for hospital resource scheduling using a multi-agent framework,"," rd International Workshop Distributed Computing Calcutta","12","7","34","AGupta"
"35","U Deshpande; A Gupta; A Basu","Adaptive fault tolerant hospital resource scheduling,","International Conference Cooperative Information Systems LNCS","12","8","35","AGupta"
"36","U Deshpande; A Gupta; A Basu","A distributed hospital resource scheduling system using a multi-agent framework,","IETE Technical Review","12","9","36","AGupta"
"37","A Gupta;Himadri Sekhar Paul ; R Badrinath","A Heterogeneous Checkpoint and Recovery Protocol in Cluster-Based Distributed Systems ","PDPTA Parallel and Distributed Processing Techniques and Applications","12","30","37","AGupta"
"38","H S Paul; A Gupta; R Badrinath","Evaluation of different classes of checkpoint and recovery potocols iwth dPSIM,","CIT th International Conference Information Technology Gopalpur Sea","12","31","38","AGupta"
"39","H S Paul; A Gupta; R Badrinath","Performance comparison of checkpoint and recovery protocols,"," Concurrency and Computation Practice and Experience","12","32","39","AGupta"
"40","H S Paul; A Gupta; R Badrinath","Simulation and performance estimation of checkpoint and recovery protocols,","Poster presentation HPC ASIA Bangalore","12","33","40","AGupta"
"41","A Gupta;Sriram V Pemmaraju ; Sukumar Ghosh","Fault-containing network protocols ","SAC Selected Areas Cryptography","12","34","41","AGupta"
"42","A Gupta;Sriram V Pemmaraju ; Sukumar Ghosh ; Ted Herman","Fault-Containing Self-Stabilizing Algorithms ","PODC Symposium Principles of Distributed Computing","12","35","42","AGupta"
"43","A Gupta;Sriram V Pemmaraju ; Sukumar Ghosh","A Self-Stabilizing Algorithm for the Maximum Flow Problem ","Distributed Computing","12","36","43","AGupta"
"44","S Ranjan; A Gupta; A Basu; A Meka; A Chaturvedi","Adaptive mobile agents: modeling and a case study,"," Workshop Distributed Computing Calcutta","12","37","44","AGupta"
"45","S Shekhar; S Banerjee; A Gupta","Online transcoding of news pages for handheld devices,","International Conference Computer Sciences","12","38","45","AGupta"
"46","U Deshpande; A Gupta; A Basu","Performance improvement of contract net based using instance based learning,","International Workshop Distributed Computing Kolkata Proceedings Springer Verlag s LNCS series","12","10","46","AGupta"
"47","U Deshpande; A Gupta; A Basu","Task assignment in a collaborative system with imprecise information,","KBCS Mumbai","12","11","47","AGupta"
"48","S Ghosh; A Gupta; S V Pemmaraju","Fault-containing network protocols,","Annual ACM Symposium Applied Computing San Jose","12","12","48","AGupta"
"49","S Ghosh; A Gupta; S V Pemmaraju","A fault-containing self-stabiling spanning tree algorithm,","Journal of Computing and Information","12","13","49","AGupta"
"50","S Ghosh; A Gupta; T Herman; S V Pemmaraju","Fault-containing self-stabilizing protocols,"," th Annual ACM Symposium Principles of Distributed Computing","12","14","50","AGupta"
"51","S Ghosh ; A Gupta","An exercise in fault-containment: Self-stabilizing leader election,","Information Processing Letters","12","15","51","AGupta"
"52","S Ghosh; A Gupta; S V Pemmaraju","Randomized algorithms in graph theory,","Technical Report TR Department of Computer Science The University of City","12","16","52","AGupta"
"53","S Ghosh; A Gupta; M H Karaata; S V Pemmaraju","Self-stabilizing dynamic programming algorithms on trees,"," Workshop Self Stabilizing Systems Las Vegas","12","17","53","AGupta"
"54","S Ghosh; A Gupta; M H Karaata; S V Pemmaraju","A self-stabilizing algorithm for maximal matching on trees,","Technical Report TR Department of Computer Science The University of City","12","18","54","AGupta"
"55","S Ghosh; A Gupta; S V Pemmaraju","A self-stabilizing algorithm for the maximum flow problem,","Distributed Computing","12","19","55","AGupta"
"56","A Gupta; Marie-Pierre Dubuisson-Jolly ; Thomas O'Donnell","A Cooperative Framework for Segmentation Using D Active Contours and D Hybrid Models as Applied to Branching Cylindrical Structures ","ICCV International Conference Computer Vision","13","1","56","AGupta"
"57","A Gupta; Cheng-Chung Liang ; Marie-Pierre Dubuisson-Jolly","Optimal Polyline Tracking for Artery Motion Compensation in Coronary Angiography ","ICCV International Conference Computer Vision","13","2","57","AGupta"
"58","A Gupta; Terrance E Boult ; Thomas O'Donnell","A new model for the recovery of cylindrical structures from medical image data ","CVRMed","13","3","58","AGupta"
"59","A Gupta; Bir Bhanu ; David Michael ; Terrance E Boult","Introduction to the Special Issue on Innovative Applications of Computer Vision ","Mach Vis Appl","13","4","59","AGupta"
"60","A Gupta; Terrance E Boult ; Thomas O'Donnell","Global Models with Parametric Offsets as Applied to Cardiac Motion Recovery ","CVPR Computer Vision and Pattern RecognitioN","13","5","60","AGupta"
"61","A Gupta; Gareth Funka-Lea","The use of hybrid models to recover cardiac wall motion in tagged MR images ","CVPR Computer Vision and Pattern RecognitioN","13","6","61","AGupta"
"62","A Gupta; Gareth Funka-Lea ; Richard D White ; Sandra Simon Halliburton ; Shmuel Aharon ; Thomas O'Donnell","Multi-Modality Model-Based Registration in the Cardiac Domain ","CVPR Computer Vision and Pattern RecognitioN","13","7","62","AGupta"
"63","A Gupta; Jeremy P Chew","Fairness performance of dynamic weights in the ATM ABR service ","Perform Eval","14","1","63","AGupta"
"64","A Gupta; Jeremy P Chew","Improving Fairness of Long VCs Using Active Fairness in the ATM ABR Service ","ICC International Conference Communications","14","2","64","AGupta"
"65","A Gupta; Xiaoqun Wang","Controlling Isochronous Traffic in CRMA/ATM Interworking ","ICC International Conference Communications","14","3","65","AGupta"
"66","A Gupta; Bu-Sung Lee ; Md Shamsuzzaman","A New Consolidation Algorithm for Point-to-Multipoint ABR Service in ATM Networks ","ICN International Competition Network","14","4","66","AGupta"
"67","A Gupta; Nicolas D Georganas","Analysis of a Packet Switch with Input and Output Buffers and Speed Constraints ","INFOCOM The Conference Computer Communications","14","5","67","AGupta"
"68","A Gupta; Nicolas D Georganas","Priority Performance of ATM Packet Switches ","INFOCOM The Conference Computer Communications","14","6","68","AGupta"
"69","A Gupta; Luis Orozco-Barbosa ; Nicolas D Georganas","Switching Modules for ATM Switching Systems and Their Interconnection Networks ","Computer Networks and ISDN Systems","14","7","69","AGupta"
"70","Alok Gupta; B oris J ukic; Prabhudev Konana","Pricing Virtual Private Networks - An Economic, Engineering and Experimental Approach,","Business Modelling A MultiDisciplinary Approach Essays honor of Andrew B Whinston C Holsapple V Jacob H R Rao eds Kluwer Academic Publishers forthcoming","15","30","70","AGupta"
"71","Alok Gupta; Dale O Stahl; A ndrew B Whinston","Priority Pricing of Integrated Services Networks, in Internet Economics, L W McKnight and J P Bailey, eds , MIT Press, Cambridge, MA, , - ","","15","31","71","AGupta"
"72","Alok Gupta; Dale O Stahl; Andrew B Whinston"," A Priority Pricing Approach to Manage Multi-Service Class Networks in Real-Time,"," The Journal of Electronic Publishing","15","32","72","AGupta"
"73","Alok Gupta; Dale O Stahl; Andrew B Whinston","A Stochastic Equilibrium Model of Internet Pricing,","Journal of Economic Dynamics and Control","15","33","73","AGupta"
"74","Alok Gupta; Boris Jukic; Mingzhi Li; Dale O Stahl; Andrew B Whinston"," Estimating Internet Users' Demand Characteristics,","Computational Economics","15","34","74","AGupta"
"75","Alok Gupta; Boris Jukic; Manoj Parameswaran; Dale O Stahl; Andrew B Whinston"," Streamlining the Digital Economy: How to Avert a Tragedy of the Commons,","IEEE Internet Computing","15","35","75","AGupta"
"76","Alok Gupta; Dale O Stahl; Andrew B Whinston"," The Economics of Network Management,","Communications of the ACM","15","36","76","AGupta"
"77","Alok Gupta; Dale O Stahl; Andrew B Whinston","The Internet: A Future Tragedy of the Commons?","Computational Approaches to Economic Problems H Amman B Rustem and A B Whinston eds Kluwer Academic Publishers Dordrecht The","15","37","77","AGupta"
"78","Alok Gupta; Douglas J Morrice","Transient S ensitivity Analysis in Computer Simulation,","Proceedings of European Simulation Multiconference Barcelona Nominated for the Best Paper Award","15","38","78","AGupta"
"79","P Konana; Alok Gupta; Andrew B Whinston"," Integrating User Preferences and Real-time Workload in Electronic Commerce,","Information Systems Research","15","39","79","AGupta"
"80","P Konana; Alok Gupta; Dale O Stahl; Andrew B Whinston","Pricing and Real-Time Database Applications for Information Services: A Framework and Economic Justification,","Proceedings of ICIS International Conference Information Systems Dcember Winner Runners up award for the Best Paper","15","40","80","AGupta"
"81","P Konana; Alok Gupta; Dale O Stahl; Andrew B Whinston","Research Issues in Real-time DBMS in the Context of Electronic Commerce,","Proceedings of ACM for Workshop Databases Active and Real time association with th International Conference Information and Knowledge Management","15","41","81","AGupta"
"82","A Gupta;Andrew B Whinston ; Boris Jukic ; Dale O Stahl ; Manoj Parameswaran","Streamlining the Digital Economy: How to Avert a Tragedy of the Commons ","IEEE Internet Computing","15","42","82","AGupta"
"83","A Gupta;Andrew B Whinston ; Dale O Stahl","The Economics of Network Management ","Commun ACM","15","43","83","AGupta"
"84","Ravi Bapna; Paulo Goes; Alok Gupta","Simulating Online Yankee Auctions to Optimize Sellers Revenue,","Proceedings of HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES Maui","15","10","84","AGupta"
"85","Ravi Bapna; Paulo Goes; Alok Gupta ; Yiwei Jin","User Heterogeneity and its Impact on Electronic Auction Market Design: An Empirical Exploration,","Forthcoming Management Information Systems Quarterly","15","11","85","AGupta"
"86","Ravi Bapna; Paulo Goes; Alok Gupta"," A Theoretical and Empirical Investigation of Multi-item On-line Auctions,","Information Technology and Management","15","12","86","AGupta"
"87","A Gupta;R K Chellappa; Gupta; A ","Managing Computing Resources in Active Intranets ,","International Journal of Network Management","15","13","87","AGupta"
"88","Andrew Chen; Paulo Goes; Alok Gupta; James Marsden","Database Design in the Modern Organization - Identifying Robust Structures Under Changing Query Patterns and Arrival Rate Conditions,","Forthcoming Decision Support Systems of Article Press version","15","14","88","AGupta"
"89","A Gupta;Paulo B Goes ; Ravi Bapna","Insights and Analyses of Online Auctions ","Commun ACM","15","15","89","AGupta"
"90","A Gupta;Paulo B Goes ; Ravi Bapna","Simulating Online Yankee Auctions to Optimize Sellers Revenue ","HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES","15","16","90","AGupta"
"91","A Gupta;Ram D Gopal","Minitrack Introduction ","HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES","15","17","91","AGupta"
"92","Ram Gopal; Alok Gupta","Trading Higher Software Piracy for Higher Profits: The Case of Phantom Piracy,","Proceedings of HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES Big Island Nominated for the Best Paper Award","15","18","92","AGupta"
"93","Alok Gupta; Leigh Linden; Dale O Stahl; Andrew B Whinston"," Benefits and Costs of Adopting Usage Based Pricing in a Subnetwork,","Information Technology and Management","15","19","93","AGupta"
"94","Gedas Adomavicius; Alok Gupta","Towards Comprehensive Bidder Support in Online Combinatorial Auctions,","Proceedings of WITS Workshop Information Technologies and Systems","15","1","94","AGupta"
"95","Ravi Bapna; Paulo Goes; Alok Gupta"," Comparative Analysis of Multi-Item Online Auctions: Evidence from the Laboratory,","Decision Support System","15","2","95","AGupta"
"96","Ravi Bapna; Alok Gupta","Online Mercantile Processes: A Closer Look at B C Online Auctions, in Handbook of Electronic Commerce in Business and Society, P B Lowry, R J Watson, and J O Cherrington eds , St Lucie Press, Boca Raton, FL, , - ","","15","3","96","AGupta"
"97","Ravi Bapna; Paulo Goes; Alok Gupta","Online Mercantile Processes for Digital Products under Quality-of-Service and Uncertain Demand,","Proceedings of WITS Workshop Information Technologies and Systems Sydney","15","4","97","AGupta"
"98","Ravi Bapna; Paulo Goes; Alok Gupta"," Analysis and Design of Business-to-Consumer Online Auctions,","Management Science","15","5","98","AGupta"
"99","Ravi Bapna; Paulo Goes; Alok Gupta"," Insights and Analysis of Online Auctions,","Communications of the ACM","15","6","99","AGupta"
"100","Ravi Bapna; Paulo Goes; Alok Gupta; Gilbert K aruga","Predictive Calibration of Online Multi-Unit Ascending Auctions,","Proceedings of WITS Workshop Information Technologies and Systems Barcelona Nominated for the Best Paper Award","15","7","100","AGupta"
"101","Ravi Bapna; Paulo Goes; Alok Gupta; Gilbert Karuga","Optimal Design of the Online Auction Channel: Analytical, Empirical and Computational Insights,","Decision Sciences of prepublication version","15","8","101","AGupta"
"102","Ravi Bapna; Paulo Goes; Alok Gupta"," Replicating Online Yankee Auctions to Analyze Auctioneers' and Bidders' Strategies,","Information Systems Research","15","9","102","AGupta"
"103","Alok Gupta; Dale O Stahl; Andrew B Whinston","A Conceptual Framework for Applying Parallel Computing to Flexible Manufacturing Systems,","Proceedings of NSF Conference Design and Manufacturing","15","20","103","AGupta"
"104","Alok Gupta; Bo-Chiuan Su; Zhiping Walter","Economic Analysis of Consumer Purchase Intentions in Electronic and Traditional Retail Channels: Competitive and Strategic Implications,","Forthcoming Decision Support Systems","15","21","104","AGupta"
"105","A Gupta; Dale O Stahl; Andrew B Whinston","Economic Issues in Electronic Commerce,","Readings Electronic Ravi Kalakota and Andrew B Whinston eds Wesley Parts Reprinted under the same title Legal Issues Electronic R L ed Captus Press","15","22","105","AGupta"
"106","Alok Gupta; Dale O Stahl; Andrew B Whinston","A Decentralized Approach to Estimate Activity Based Costs and Near-Optimal Resource Allocation in Flexible Manufacturing Systems,","International Journal of Flexible Manufacturing Systems","15","23","106","AGupta"
"107","Alok Gupta; Y Alex Tung; James R Marsden"," Digital Signature: Use and Modification to Achieve Success in Next Generational E-Business Processes,","Forthcoming Information Management","15","24","107","AGupta"
"108","Alok Gupta; Dale O Stahl; Andrew B Whinston"," Managing Computing Resources in Intranets: An Electronic Commerce Perspective,","Decision Support Systems","15","25","108","AGupta"
"109","Alok Gupta; Boris Jukic; Dale O Stahl; Andrew B Whinston"," Extracting Consumers' Private Information for Implementing Incentive Compatible Internet Traffic Pricing,","Journal of Management Information Systems","15","26","109","AGupta"
"110","Alok Gupta; Dale O Stahl; Andrew B Whinston","An Economic Approach to Network Computing with Priority Classes,","Journal of Organizational Computing and Electronic","15","27","110","AGupta"
"111","Alok Gupta; Dale O Stahl; Andrew B Whinston","Application of Parallel Computing to Resource Pricing and Scheduling in Flexible Manufacturing Systems,","Operations Research Methods Models and Applications J E Aronson and S Zionts eds Quorum Books","15","28","111","AGupta"
"112","Alok Gupta; Dale O Stahl; Andrew B Whinston","Pricing of Services on The Internet,","IMPACT How IC Research Affects Public Policy and Business Markets Quorum Books forthcoming","15","29","112","AGupta"
"113","A Gupta;Armin Biere ; Edmund M Clarke ; Poul Frederick Williams","Combining Decision Diagrams and SAT Procedures for Efficient Symbolic Model Checking ","CAV Computer Aided Verification","16","1","113","AGupta"
"114","A Gupta;Edmund M Clarke ; James H Kukula ; Ofer Shrichman","SAT Based Abstraction-Refinement Using ILP and Machine Learning Techniques ","CAV Computer Aided Verification","16","2","114","AGupta"
"115","Aarti Gupta; Anubhav Gupta; Zijiang Yang; Pranav Ashar","Dynamic Detection and Removal of Inactive Clauses in SAT with Application in Image","Computation DAC Design Automation Conference","16","3","115","AGupta"
"116","Aarti Gupta ; Pranav Ashar ; Zijiang Yang","Dynamic Detection and Removal of Inactive Clauses in SAT with Application in Image Computation ","DAC Design Automation Conference","16","4","116","AGupta"
"117","Aarti Gupta ; Pranav Ashar ; Zijiang Yang","SAT-Based Image Computation with Application in Reachability Analysis ","FMCAD Formal Methods Computer Aided Design","16","5","117","AGupta"
"118","A Gupta;Ram Suryanarayan ; Travis N Blalock","A slew rate enhancement technique for operational amplifiers based on a tunable active Gm-based capacitance multiplication circuit ","ACM Great Lakes Symposium VLSI Very Large Scale Integration","16","6","118","AGupta"
"119","Poul Frederick Williams; Armin Biere; Edmund M Clarke; Anubhav Gupta","Combining Decision Diagrams and SAT Procedures for Efficient Symbolic Model Checking","CAV Computer Aided Verification","16","7","119","AGupta"
"120","A Gupta; John P Hayes","Width minimization of two-dimensional CMOS cells using integer programming ","ICCAD International Conference Computer Aided Design","17","1","120","AGupta"
"121","A Gupta; John P Hayes","Optimal -D cell layout with integrated transistor folding ","ICCAD International Conference Computer Aided Design","17","2","121","AGupta"
"122","A Gupta; John P Hayes","CLIP: An Optimizing Layout Generator for Two-Dimensional CMOS Cells ","DAC Design Automation Conference","17","3","122","AGupta"
"123","A Gupta; John P Hayes","CLIP: integer-programming-based optimal layout synthesis of D CMOS cells ","ACM Trans Design Autom Electr Syst","17","4","123","AGupta"
"124","A Gupta;Iliana Avila-Campillo; Todd J Green; Ashish Kumar Gupta; Makoto Onizuka; Demian Raven; Dan Suciu","XMLTK: An XML Toolkit for Scalable XML Stream Processing"," PLANX","18","1","124","AGupta"
"125","A Gupta;Surajit Chaudhuri ; Vivek R Narasayya","Compressing SQL workloads ","SIGMOD International Conference Management of Data Conference","18","2","125","AGupta"
"126","A Gupta;Ashish Kumar Gupta; Alon Halevy; Dan Suciu","View Selection for Stream Processing","WebDB","18","3","126","AGupta"
"127","A Gupta;Ashish Kumar Gupta; Dan Suciu","Stream Processing of XPath Queries with Predicates","SIGMOD International Conference Management of Data","18","4","127","AGupta"
"128","A Gupta;Ashish Kumar Gupta; Dan Suciu; Alon Halevy","The View Selection Problem for Stream Processing","PODS Symposium Principles of Database Systems","18","5","128","AGupta"
"129","A Gupta;Alon Y Halevy ; Dan Suciu","View Selection for Stream Processing ","WebDB","18","6","129","AGupta"
"130","A Gupta;Alon Y Halevy ; Dan Suciu","The view selection problem for XML content based routing ","PODS Symposium Principles of Database Systems","18","7","130","AGupta"
"131","A Gupta;Dan Suciu","Stream Processing of XPath Queries with Predicates ","SIGMOD International Conference Management of Data Conference","18","8","131","AGupta"
"132","A Gupta; Kanad Chakraborty ; Pinaki Mazumder","A Silicon Compiler for Fault-Tolerant ROMs ","DFT Defect and Fault Tolerance VLSI Systems","19","1","132","AGupta"
"133","A Gupta; Kanad Chakraborty ; Mayukh Bhattacharya ; Pinaki Mazumder ; Shriram Kulkarni","A Physical Design Tool for Built-in Self-Repairable Static RAMs ","DATE Design Automation and Test Europe","19","2","133","AGupta"
"134","A Gupta; Larry Whitman ; Ramesh K Agarwal","Supply chain agent decision aid system SCADAS ","Winter Simulation Conference","19","3","134","AGupta"
"135","A Gupta;Ben Verghese ; Mendel Rosenblum ; Rohit Chandra ; Scott Devine","Scheduling and Page Migration for Multiprocessor Compute Servers ","ASPLOS Architectural Support for Programming Languages and Operating Systems","1","103","135","AGupta"
"136","A Gupta;John Chapin ; Mendel Rosenblum ; Stephen Alan Herrod","Memory System Performance of UNIX on CC-NUMA Multiprocessors ","SIGMETRICS Measurement and Modeling of Computer Systems","1","16","136","AGupta"
"137","A Gupta;Wolf-Dietrich Weber","Cache Invalidation Patterns in Shared-Memory Multiprocessors ","IEEE Trans Computers","1","104","137","AGupta"
"138","A Gupta;David R Cheriton ; Hendrik A Goosen ; Patrick D Boyle","The VMP Multiprocessor: Initial Experience, Refinements and Performance Evlauation ","ISCA International Symposium Computer Architecture","1","17","138","AGupta"
"139","A Gupta;Wolf-Dietrich Weber","Exploring the Benefits of Multiple Hardware Contexts in a Multiprocessor Architecture: Preliminary Results ","ISCA International Symposium Computer Architecture","1","105","139","AGupta"
"140","A Gupta;Daniel Lenoski ; James Laudon ; John L Hennessy ; Kourosh Gharachorloo ; Phillip B Gibbons","Memory Consistency and Event Ordering in Scalable Shared-Memory Multiprocessors ","ISCA International Symposium Computer Architecture","1","50","140","AGupta"
"141","A Gupta;Alex Colburn ; Ivan Tashev ; Jonathan J Cadiz ; Li-wei He ; Ross Cutler ; Steve Silverberg ; Yong Rui ; Zhengyou Zhang ; Zicheng Liu","Distributed meetings: a meeting capture and broadcasting system ","ACM Multimedia","1","18","141","AGupta"
"142","A Gupta;Wolf-Dietrich Weber","Analysis of Cache Invalidation Patterns in Multiprocessors ","ASPLOS Architectural Support for Programming Languages and Operating Systems","1","106","142","AGupta"
"143","A Gupta;Daniel Lenoski ; James Laudon ; John L Hennessy ; Kourosh Gharachorloo","The Directory-Based Cache Coherence Protocol for the DASH Multiprocessor ","ISCA International Symposium Computer Architecture","1","51","143","AGupta"
"144","Ross Cutler ;Yong Rui ; Anoop Gupta ;Jonathan J Cadiz ;Ivan Tashev ;Li-wei He ;Alex Colburn ;Zhengyou Zhang ;Zicheng Liu ;Steve Silverberg","Distributed meetings,"," ACM_Multimedia","1","19","144","AGupta"
"145","Wolf-Dietrich Weber ;Todd C Mowry","Reducing Memory and Traffic Requirements for Scalable Directory Based Cache Coherence Schemes,"," Anoop Gupta","1","107","145","AGupta"
"146","A Gupta;Daniel Lenoski ; David Nakahira ; James Laudon ; John L Hennessy ; Luis Stevens ; Truman Joe","The DASH Prototype: Logic Overhead and Performance ","IEEE Trans Parallel Distrib Syst","1","52","146","AGupta"
"147","Steven Cameron Woo ;Moriyoshi Ohara ;Evan Torrie ;Jaswinder Pal Singh ; Anoop Gupta","The SPLASH Programs,"," ISCA International Symposium Computer Architecture","1","108","147","AGupta"
"148","A Gupta;Daniel Lenoski ; David Nakahira ; James Laudon ; John L Hennessy ; Luis Stevens ; Truman Joe","The DASH Prototype: Implementation and Performance ","ISCA International Symposium Computer Architecture","1","53","148","AGupta"
"149","A Gupta;Daniel Lenoski ; James Laudon ; John L Hennessy ; Kourosh Gharachorloo ; Mark Horowitz ; Monica S Lam ; Wolf-Dietrich Weber","The Stanford Dash Multiprocessor ","IEEE Computer","1","54","149","AGupta"
"150","A Gupta;Margaret Martonosi ; Thomas E Anderson","Effectiveness of Trace Sampling for Performance Debugging Tools ","SIGMETRICS Measurement and Modeling of Computer Systems","1","55","150","AGupta"
